name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,0,False,
Shop on eBay,2000,Brand New,0,False,
New ListingVintage Stanley Bailey No 5 1/2 Plane Smooth Bottom Woodworking Tool USA !!,8000,Pre-Owned,0,False,
New ListingNORRIS INFILL PLANE IRON CAP WOODWORKING,9000,Pre-Owned,800,False,
New ListingBridge City Tool Works HP 8 Mini Block Plane,7000,Brand New,1500,False,
Stanley 12-137 No.62 Patented Lateral Adjusting Iron Cast Low Angle Jack Plane,14700,Brand New,0,True,292
New ListingVINTAGE STANLEY ROUTER PLANE NO. 271 TOOL BOX,8900,Pre-Owned,701,False,
"New ListingStanley # 42 ""Gunmetal"" Combination Plane w/ Filletster Bed",120000,Pre-Owned,0,False,
"New ListingVintage Stanley Bailey No.5 Smooth Sole , Type 11 Hand Plane 1910-1918. 3 Pat.",5000,Pre-Owned,1278,False,
New ListingRare Boston Metallic Block Plane Rosewood Wedge,30000,Pre-Owned,1100,False,
Vintage UNION No. 5 Plane Made in USA,4599,False,0,False,
Vintage Stanley No 80 Cabinet Scraper Plane,4000,False,0,False,
New Listinglarge lot wood wooden MOLDING PLANE TOOL LOT SIDE BEADS others NY,9500,False,0,False,
"Low Angle Block Plane Sweetheart No. 60 1/2, 6-1/2 in. Iron Crafted Solid Brass",7900,False,0,False,18
hobby block planes STANLEY 75 rabbets 101's carpenter woodworking tools,5850,False,0,False,
Founder's Grade Stanley No. 112 Scraper Plane - Original Decal - mjdtoolparts,38450,False,0,False,
type 1 older STANLEY TOOLS 130 ROUNDED BLOCK woodworking plane,6500,False,0,False,
Roclub 2.4G Remote Control Plane Glider Airplane EPP Foam RC Plane Toy,2599,False,0,False,
New ListingRare Stanley No 10 Jack Rebate/ Carriage Makers/ Bench Rabbet Plane ,22000,Pre-Owned,1400,False,
New ListingOld Vintage Stanley No. 71  Router Plane Woodworking Tool,2999,Pre-Owned,1825,True,
Stud Removal Nuts for Stanley Cast Iron Planes,1495,Brand New,0,True,
New ListingSTANLEY BEDROCK #606 VINTAGE WOOD PLANE,9000,Pre-Owned,2300,False,
2.4GHz Remote Control Plane Glider Airplane EPP Foam RC Plane Fighter Toy Blue,3000,Brand New,984,False,
Vintage UNION No. 5 Plane Made in USA,4599,Pre-Owned,0,True,
New ListingStanley C54imp Wood Plane,4000,Pre-Owned,1000,False,
"Vintage Millers Falls No. 1 ""Cigar"" Spokeshave , 1884 Patent",4850,Pre-Owned,985,False,
New ListingEarly Vintage Stanley Rule & Level No 45 Plane w/ cutters in Metal Box Woodwork,8499,Pre-Owned,3645,True,
New ListingStanley Pocket Plane,1000,Brand New,0,False,
New ListingVintage Stanley Bailey No 3 Plane ,3500,Pre-Owned,900,False,
"New ListingVintage H1205 14"" Stanley Handyman Wood Plane Woodworking Hand Tool Made in USA",2199,Pre-Owned,0,False,
Stanley 12-137 No.62 Patented Lateral Adjusting Iron Cast Low Angle Jack Plane,14700,Brand New,895,False,
Vintage UNION No. 5 Plane Made in USA,4599,Pre-Owned,0,False,
Vintage Stanley No 80 Cabinet Scraper Plane,4000,Pre-Owned,0,False,
 Vintage Sargent No. 714 Auto-Set Jack Plane  ,2500,Pre-Owned,1967,False,
New ListingSARGENT 710 AUTO-SET PLANE GOOD CONDITION SMOOTH BOTTOM MUST SEE lot 503,14000,Pre-Owned,0,False,
"Vtg Craftsman Duplex Rabbet Plane 1-1/2"", Black,USA~AVG+🤠🤠🤠CM3.19.25",1997,Pre-Owned,1278,False,
New Listinglarge lot wood wooden MOLDING PLANE TOOL LOT SIDE BEADS others NY,9500,Pre-Owned,0,False,
Chip Breaker Screwdriver in Beech Hardwood for Stanley Planes by Dave Corinth,3495,Brand New,0,True,
New ListingAnyique Molding Planes Hollow & Tongue Groove,7150,Pre-Owned,1452,False,
New ListingTHREE VINTAGE 14” LONG WOODWORKING PLANES/ PARTS OR REPAIR / KEEN KUTTER & MORE,2499,Pre-Owned,4000,False,
New ListingANTIQUE STANLEY NO. 80 CABINET SCRAPPER - PATENT DATES OF JUNE 1914,1499,Pre-Owned,1600,False,
New ListingVintage stanley No. 190 rabbet plane and No. 79 side rabbet plane,4000,Pre-Owned,824,False,
New ListingVintage Stearns Tennon Plane.,499,Pre-Owned,682,False,
New ListingAntique Stanley Wood Plane 8 inch with wood sole,200,Pre-Owned,855,False,
Vintage Stanley #55 Sweetheart Combination Hand Plane with Wood Box,27900,Pre-Owned,2899,False,
Vintage Stanley No 80 Cabinet Scraper Plane,4000,Pre-Owned,0,False,
antique wood hand planers,6000,Pre-Owned,1000,False,
New ListingVintage Stanley Handyman HI203 Smoothing Carpenter’s Wood Hand Plane USA,2000,Pre-Owned,939,False,
New Listingmillers falls no 8 plane,6500,Pre-Owned,0,False,
